pais,sigla,desembolso_usd_milhoes,num_projetos,ingresso_nbd,regiao,pct_portfolio,desembolso_por_projeto,anomalia,cluster
Brasil,BR,7000,31,2015,America_Latina,18.56763925729443,225.80645161290323,1,0
China,CN,10100,42,2015,Asia,26.790450928381965,240.47619047619048,1,2
India,IN,11100,38,2015,Asia,29.44297082228117,292.10526315789474,1,2
Russia,RU,4000,15,2015,Europa_Asia,10.610079575596817,266.6666666666667,1,0
Africa_do_Sul,ZA,5000,22,2015,Africa,13.262599469496022,227.27272727272728,1,0
Bangladesh,BD,500,3,2021,Asia,1.3262599469496021,166.66666666666666,-1,1
