ano,portfolio_total_usd_milhoes,crescimento_anual_pct,anomalia
2016,1544,,-1
2017,3419,121.43782383419688,1
2018,7828,128.95583503948524,1
2019,14933,90.7639243740419,1
2020,24474,63.8920511618563,1
2021,29143,19.077388248753778,1
2022,30230,3.7298836770407906,1
2023,31920,5.590473040026467,1
2024,35152,10.125313283208026,-1
