setor,pct_portfolio,num_projetos
Transporte,40.0,28
COVID-19 Resposta,25.0,15
Agua_Saneamento,11.0,12
Energia_Limpa,10.0,14
Infraestrutura_Digital,6.0,8
Desenvolvimento_Urbano,5.0,7
Outros,3.0,5
