ano,desembolso_br_usd_milhoes,pct_do_total_nbd,anomalia
2016,180,11.658031088082902,-1
2017,250,7.312079555425563,1
2018,310,3.960143076136944,1
2019,380,2.54469965847452,1
2020,620,2.5333006455830676,1
2021,850,2.9166523693511306,1
2022,920,3.0433344359907375,1
2023,2800,8.771929824561402,-1
2024,688,1.957214383249886,1
