modelo,r2_teste,rmse,cv_r2
RandomForest,0.9519,0.0336,0.9625+-0.0095
GradientBoosting,0.9484,0.0348,0.9735+-0.0040
ElasticNet,0.9983,0.0064,0.9985+-0.0005
XGBoost,0.9588,0.0311,0.9720+-0.0025
LightGBM,0.8973,0.0491,0.9127+-0.0217
