cluster,aipi_total,ptf_relativa,educ_superior_pct,internet_pop_pct,gerd_pib_pct,export_tech_pct,gini,complexidade_economica,escape_arm
0.0,41.53,57.43,20.32,51.89,0.26,4.65,39.74,0.1,0.42
1.0,75.03,82.35,73.58,90.38,1.45,18.48,32.92,0.24,0.75
