feature,importance_rf,importance_perm,importance_perm_std
gdp_per_capita,0.1474033088205524,0.04083969465648853,0.00973843574211686
product_density,0.12855364370621544,0.008015267175572504,0.003984849812561277
knowledge_complexity,0.08879627839101782,0.032251908396946555,0.008316320064695005
fdi_inflows,0.08743564608269219,0.003053435114503794,0.002588675566078343
internet_users,0.08722636741801808,0.010496183206106869,0.005897533259680332
rd_spending,0.07971193692533685,0.019274809160305335,0.006663011545838205
services_emp,0.06928373077256987,0.039885496183206096,0.008908351158002925
gini,0.058733214923971454,0.008587786259541963,0.0051029549454660195
high_tech_exp,0.05467627435050075,0.016603053435114506,0.004052816904884606
export_sophistication,0.052641080166479004,0.016221374045801523,0.005897533259680321
unemployment,0.05179752810118085,-0.001145038167938961,0.0024439405486385087
tertiary_enrollment,0.05151924287757759,0.01717557251908397,0.007191390718098
patent_apps,0.027310188199743745,0.007442748091603041,0.0035137314197561083
ai_readiness,0.014911559264143991,0.03778625954198472,0.008778625954198482
