economy,cluster,gdp_per_capita,ai_readiness,gdp_growth,arm_relative
ABW,0,33373.9174591266,7.03277092796885,6.81077669324542,0
AFE,2,1435.35627774336,30.4,2.76383869054277,0
AFG,2,378.06630312259,0.0,2.26694373649188,0
AFW,2,1816.34604380299,42.4,4.5856736208091,0
AGO,2,2845.47779302975,0.0,4.42390664406875,0
ALB,0,6549.23387415397,0.0,4.04592845095348,0
AND,0,41034.5266723078,64.11799105419192,3.37182032638998,0
ARB,0,6282.0327428409,0.0,1.70353102787844,1
ARE,1,41605.4168670844,0.0,3.99180705485398,0
ARG,0,12774.3506596628,0.0,-1.34293072157739,1
ARM,0,5378.31799981682,0.0,5.90000000046228,0
ASM,0,13709.0974895473,0.0,1.73501577287065,1
ATG,0,18350.185036972,36.365200045,3.65638765956977,0
AUS,1,61480.670710531,0.0,1.37340773365975,0
AUT,1,45958.8250071261,91.92573373,-0.659089573171372,0
AZE,0,5871.14373251952,90.80000181,4.07140205008956,0
BDI,2,268.700857391724,3.192270040512085,4.11227376264944,0
BEL,1,45045.6601021398,0.0,1.07045413019414,0
BEN,2,1324.78312597434,0.0,7.45311566226201,0
BFA,2,763.833733522408,0.0,4.79980951667159,0
BGD,2,1941.27874360025,0.0,4.22325911250161,0
BGR,0,10126.8980075708,0.0,3.38709063847314,0
BHR,0,25812.4504577306,0.0,2.60379670648454,0
BHS,0,33968.2032187918,0.0,3.37866553336166,0
BIH,0,6730.26828824205,0.0,2.9715174617652,0
BLR,0,6792.13183495565,0.0,4.00984852465452,0
BLZ,0,6290.49294452749,0.0,3.50466435023895,0
BMU,0,122117.603586776,4.29022298476359,5.97253260071749,0
BOL,0,3045.61476602385,0.0,-1.12335595517212,1
BRA,0,9566.74408628371,0.0,3.41931516597739,0
BRB,0,21581.2171257633,25.400539558443,2.4822621396186,0
BRN,0,29563.8682753082,0.0,4.05251709306727,0
BTN,0,3480.51388574877,0.0,4.63215704523927,0
BWA,0,6937.33180990267,0.0,-2.98986879467928,1
CAF,2,389.938307964229,0.0,1.49999999847535,0
CAN,1,44413.3983847404,0.0,1.55479521049516,0
CEB,0,16856.766201271,0.0,2.0701601704917,0
CHE,1,90067.4645431168,97.32103855,1.30233332541106,0
