gdp_per_capita,tertiary_enrollment,rd_spending,patent_apps,high_tech_exp,internet_users,fdi_inflows,unemployment,gini,services_emp,ai_readiness,knowledge_complexity,export_sophistication,product_density,arm_trapped,gdp_growth,arm_relative,economy,income_level
33373.9174591266,14.0655418559377,0.5772,1.0,6.86800836378335,97.17,2.42051208397071,5.092,35.2,57.1816359992713,7.03277092796885,-0.2677968932711927,-0.9068814080186678,0.5820788431052661,,6.81077669324542,0,ABW,high
1435.35627774336,8.66186046600342,0.586779084367876,102.0,5.84676186051693,30.4,2.15814407842415,7.53923442390472,35.2,34.6968130103833,30.4,-0.9581107203159749,-0.46075322704670296,0.08050548487624912,0.0,2.76383869054277,0,AFE,middle
378.06630312259,10.85435962677,0.5772,102.0,0.0,16.09499931,0.144466946606861,13.351,35.2,29.4719178364586,0.0,-1.3969751606487115,-1.057565217391532,0.07712730377374619,,2.26694373649188,0,AFG,low
1816.34604380299,10.1902599334717,0.27753675622014,102.0,3.14322306755451,42.4,2.39840367592386,3.19055229252225,35.2,43.2531195385582,42.4,-0.876365513480404,-0.560611352171435,0.12313204765483543,0.0,4.5856736208091,0,AFW,middle
2845.47779302975,9.9549065722902,0.03229,2.0,16.6897206933082,40.70479965,-1.0986881170909,14.108,51.3,40.8514654803696,0.0,-0.9943137141431692,-0.9102995092689028,0.15236197624803557,0.0,4.42390664406875,0,AGO,middle
6549.23387415397,84.1496200561523,0.19997,23.0,1.52935344981595,85.86389923,6.32349466068578,10.926,29.4,47.2443938528146,0.0,0.0748065824697997,-0.821783495967825,0.376128834481103,0.0,4.04592845095348,0,ALB,middle
41034.5266723078,67.6767676767677,0.15818,3.0,21.4346319155008,94.39759827,6.64266743694098,5.092,35.2,57.1816359992713,64.11799105419192,0.7467616495626662,-0.42048438431542945,0.7754583034289795,,3.37182032638998,0,AND,high
6282.0327428409,35.0803985595703,0.677204976660046,102.0,4.96255409646317,80.5054655600831,3.63591508558193,9.22073083160848,35.2,60.0880075341387,0.0,-0.2860022441871265,-0.20920770052953067,0.21957664819645428,0.0,1.70353102787844,1,ARB,middle
41605.4168670844,63.7384451086316,1.49469,69.0,8.96029397394575,100.0,8.26261712974626,2.174,26.4,67.9677172675509,0.0,0.5655033680169653,0.27785779789241943,0.8613380158613139,,3.99180705485398,0,ARE,high
12774.3506596628,107.822574129434,0.60111,406.0,3.85019697474113,89.66715228,1.82409522925391,7.145,42.4,71.8147392248427,0.0,0.5337349236233774,0.19829811888031998,0.5603161000568694,0.0,-1.34293072157739,1,ARG,middle
5378.31799981682,52.7748065090859,0.2861,40.0,23.6403270515259,81.33930206,0.506878336560983,12.871,27.4,51.7297438371184,0.0,0.12293323687844085,-0.1223155197125939,0.41350085883961596,0.0,5.90000000046228,0,ARM,middle
13709.0974895473,41.4983277591973,0.39552,102.0,6.86800836378335,80.5054655600831,2.2477804102682404,5.092,35.2,57.1816359992713,0.0,-0.2732121978249556,-0.017555835560132474,0.3052336286073803,1.0,1.73501577287065,1,ASM,middle
18350.185036972,25.1156271899089,0.5772,5.0,0.0,72.73040009,11.1314252318887,5.092,35.2,57.1816359992713,36.365200045,-0.3738480058403179,-1.2861957754952713,0.35322543037478193,,3.65638765956977,0,ATG,high
61480.670710531,108.421989440918,1.85783,2966.0,25.1586416457084,96.13140106,3.03883928325354,4.09,33.8,78.5307299266158,0.0,1.3967784326473573,1.7945636587135543,0.9758554075749151,,1.37340773365975,0,AUS,high
45958.8250071261,92.6126708984375,3.25517,1872.0,18.4525766859019,91.92573373,2.55351579610657,5.582,31.2,72.5860340795189,91.92573373,2.0735291013151715,1.5531718749559347,0.8958235312681603,,-0.659089573171372,0,AUT,high
5871.14373251952,41.3413783372226,0.20778,119.0,2.91095088102775,90.80000181,0.311206693209432,5.457,26.6,50.2379526950328,90.80000181,0.2775518418163679,-0.3508349855229603,0.4662181741504203,0.0,4.07140205008956,0,AZE,middle
268.700857391724,6.38454008102417,0.21312,2.0,1.30508367041098,8.595999718,1.08105925624791,0.922,37.5,11.555679288196,3.192270040512085,-1.600547512290383,-1.5110120807851222,0.10744976661042847,,4.11227376264944,0,BDI,low
45045.6601021398,82.1475601196289,3.27235,799.0,20.3921453422236,95.77579144,-6.1601989579997,5.906,26.8,79.7685825220163,0.0,1.4758698282379425,1.337882156406098,0.9204839844211509,,1.07045413019414,0,BEL,high
1324.78312597434,10.2350101470947,0.5772,102.0,30.5389584270212,33.98379898,2.5276563137227,1.589,34.4,41.442370995676,0.0,-0.6462072664225681,-0.14560656589084384,0.24311369279103698,,7.45311566226201,0,BEN,middle
763.833733522408,10.0419678526515,0.10477,2.0,1.64548901950889,28.25270081,0.358681465803854,3.477,37.4,31.558141814278,0.0,-1.385277159063511,-1.434895112806362,0.049265164870286704,,4.79980951667159,0,BFA,low
1941.27874360025,23.7295608009814,0.5772,74.0,0.539452073551698,53.42171316,0.283870773350074,3.778,30.9,37.7062779422273,0.0,-0.8258211300147058,-0.8086406473634659,0.12417559782601185,0.0,4.22325911250161,0,BGD,middle
10126.8980075708,69.5460433959961,0.79224,165.0,13.4299683659831,82.438955,3.1312025090285,3.536,39.5,67.4343775753033,0.0,0.2850589765557849,0.25293940323504294,0.5656144075584675,0.0,3.38709063847314,0,BGR,middle
25812.4504577306,58.3677241853667,0.19327,3.0,0.387343644517371,100.0,5.73694505846498,1.102,35.2,64.2593849930069,0.0,-0.05514438877143558,-1.328926427359274,0.5972760641455631,,2.60379670648454,0,BHR,high
33968.2032187918,41.4983277591973,0.5772,4.0,0.0,92.47270203,1.51932088638775,9.207,35.2,84.4354393074231,0.0,-0.20344507565151007,-1.3019847671329745,0.6689841395645386,,3.37866553336166,0,BHS,high
6730.26828824205,45.5027618408203,0.21437,53.0,6.16317357059664,86.10091103,3.39024835333872,11.037,30.3,52.6908459507566,0.0,-0.23720099119106514,-0.3514396340459295,0.2972420646018752,0.0,2.9715174617652,0,BIH,middle
6792.13183495565,70.1107509145358,0.5872,276.0,6.01576846359853,94.26182128,2.28598440253164,3.38,24.4,59.4634450411494,0.0,0.2276610954729106,0.06968605824417037,0.5470965133832142,0.0,4.00984852465452,0,BLR,middle
6290.49294452749,24.8098643151325,0.5772,1.0,0.0001910876991115,80.00582262,4.00992513639046,8.856,39.9,68.5182208409985,0.0,-0.5201695826263255,-1.5994470216886651,0.25354620617760354,0.0,3.50466435023895,0,BLZ,middle
122117.603586776,17.3357105255127,0.22546,102.0,14.3007432825453,98.37,1.27620852105354,5.092,35.2,57.1816359992713,4.29022298476359,-0.21314562846378626,0.6057598931805998,0.8593563512647207,,5.97253260071749,0,BMU,high
3045.61476602385,41.4983277591973,0.06308,5.0,8.79395083358911,79.70469666,0.652112801170427,2.967,40.9,55.4920644482231,0.0,-0.35219823869377326,-0.8942643263405028,0.20162999009138222,0.0,-1.12335595517212,1,BOL,middle
9566.74408628371,69.7317733764648,1.1938,4666.0,11.1103644206652,84.46347227,3.38960802616211,5.97,50.3,72.1590982894571,0.0,0.3978591309178483,1.033308041336999,0.49886579984251017,0.0,3.41931516597739,0,BRA,middle
21581.2171257633,50.801079116886,0.5772,73.0,19.9263557583818,70.36470032,4.04185101459713,6.524,34.1,82.5829576162959,25.400539558443,0.1593108945281082,0.2992766471591395,0.724135340969527,,2.4822621396186,0,BRB,high
29563.8682753082,36.4182725443167,0.27764,2.0,1.06433459453488,96.29828801,0.189449066349964,5.277,35.2,78.4133595005728,0.0,-0.28765484095499577,-1.2637005834131951,0.6281306791453187,,4.05251709306727,0,BRN,high
3480.51388574877,13.011259392916,0.09979,1.0,0.0107261524845822,91.27739716,0.338339566584512,3.227,28.5,41.751131926612,0.0,-0.6642781329757412,-1.6681795865743467,0.2559881289800038,0.0,4.63215704523927,0,BTN,middle
6937.33180990267,21.4087908549348,0.561,3.0,0.539469030954736,57.45950036,2.40833479893043,24.477,54.9,66.1987613296387,0.0,-0.8089741827955459,-1.3218009324399524,0.28616135872052617,0.0,-2.98986879467928,1,BWA,middle
389.938307964229,2.77519989013672,0.5772,102.0,8.29978042191414,13.78250027,1.46851186564355,6.251,43.0,20.5464005334446,0.0,-1.3575416582179822,-0.65224137802234,0.08495240868313732,,1.49999999847535,0,CAF,low
44413.3983847404,76.2666931152344,1.7908,4710.0,16.7779029827711,94.353302,2.81029565355294,6.907,31.5,80.1468654728121,0.0,0.8695988730968645,1.6886684635998004,0.9502820605438443,,1.55479521049516,0,CAN,high
16856.766201271,68.5388870239258,1.34190356157401,102.0,15.8809772241043,80.5054655600831,-0.147680272642613,4.14452082089943,35.2,63.3998239108127,0.0,0.4696712573762394,0.3408138832975769,0.7601075027385054,0.0,2.0701601704917,0,CEB,high
90067.4645431168,73.5430526733398,3.22178,1288.0,29.6239015157944,97.32103855,-11.5737467714118,4.873,33.8,78.1685429889649,97.32103855,2.1611280938656794,1.8074152721976264,0.9894671202978509,,1.30233332541106,0,CHE,high
69818.1528119104,41.4983277591973,0.5772,102.0,6.86800836378335,80.5054655600831,2.2477804102682404,6.169,35.2,85.2925913112242,0.0,-0.2160494420231863,0.3186521439547322,0.8658156417971297,,3.71500590367266,0,CHI,high
14579.4001071307,110.176902770996,0.39205,402.0,8.31650307450688,95.590243,3.79129110936144,8.974,43.0,72.4344092725215,0.0,0.6410952698803677,0.3876245965730328,0.5708197314620107,0.0,2.64431154871538,0,CHL,high
13121.6769905565,76.8757843123403,2.57729,1426644.0,26.2777380479223,91.6,0.0989988051182737,4.615,36.0,46.5308142926728,91.6,2.8829443916134045,2.8831554849946337,0.5795467999792899,0.0,4.9773565917572,0,CHN,middle
2395.67689089222,12.3354902267456,0.06975,26.0,5.25759412069948,41.43219902,3.58346670744132,2.323,35.3,40.301955185326,0.0,-1.1561933979963097,-0.7177987116439184,0.06986897568435028,0.0,6.01953461940062,0,CIV,middle
1480.73097431993,16.6614294830602,0.5772,102.0,2.10363029161033,46.25880051,1.66655391243674,3.602,42.2,43.5314147377979,0.0,-0.953188306768278,-0.6298709223870624,0.06691520047733804,0.0,3.52472308052245,0,CMR,middle
554.244129980766,6.37987995147705,0.40638,72.0,0.199611665225369,19.67350006,4.10789956662809,4.434,44.7,33.4535474279797,0.0,-1.4528555221473938,-1.0439869108032,0.07178637525019398,,6.12675551779212,0,COD,low
